Simu;Leaf_Ei;Leaf_area;Fruit_nb
0;0.251044275;0.711395843;15
1;0.278849737;2.165726963;26
2;0.071036401;1.055829455;8
3;0.283114005;2.11549721;12
4;0.435965013;2.17790924;26
5;0.193782322;0.783820319;15
6;0.070949183;1.010939677;15
7;0.137058044;1.25791728;13
8;0.271777674;1.557127518;13
9;0.463723633;0.971056;15
10;0.331886651;1.288789492;20
11;0.508599496;2.115497248;12
12;0.408088424;1.603185343;13
13;0.181320833;1.303975293;12
14;0.470645671;1.303975414;12
15;0.520278348;0.880108303;15
16;0.344420095;1.01110654;16
17;0.250673098;1.159126148;16
18;0.198843642;2.184584305;11
19;0.424918178;1.303975271;12
20;0.232401675;1.303975354;12
21;0.492662538;1.585997066;6
22;0.513475006;0.97105601;15
23;0.3753116;1.012942169;15
24;0.052603172;2.415875379;27
25;0.379595057;0.969053626;15
26;0.391211526;1.035804196;15
27;0.494176886;1.603185394;13
28;0.362942709;1.585997021;6
29;0.079497661;2.015704967;13
30;0.276506146;1.303975394;12
31;0.162978419;1.234053882;20
32;0.051388243;2.138526347;13
33;0.182082349;0.971056053;15
34;0.279451519;2.415875394;27
35;0.347139682;1.012942154;15
36;0.058104275;2.209782594;10
37;0.29402712;2.06326478;21
38;0.261227933;1.527590254;15
39;0.195790792;1.303975256;12
40;0.244700092;1.475524601;13
41;0.223515815;2.026384936;12
42;0.295941265;2.209782616;10
43;0.386560868;1.593339571;10
44;0.2681436;1.01294223;15
45;0.032305947;1.496384209;8
46;0.209452008;1.303975399;12
47;0.439887677;2.172235312;12
48;0.050966753;0.971056212;15
49;0.287450431;1.469183148;9
50;0.035857198;1.037806894;15
51;0.384456484;1.987002089;12
52;0.261084721;1.303975168;12
53;0.12306236;1.303975388;12
54;0.286306691;1.303975304;12
55;0.285958617;1.524753471;18
56;0.458355729;0.969053519;15
57;0.278484873;1.011106578;16
58;0.374083158;1.015111634;16
59;0.483306077;0.971056207;15
60;0.473244943;1.557127353;13
61;0.261662078;1.804438871;21
62;0.233475169;2.036397528;13
63;0.301703346;0.848401589;15
64;0.403960521;1.299469643;20
65;0.125060504;1.009604612;14
66;0.462530115;0.977564386;15
67;0.209758743;1.327671762;11
68;0.244634041;1.531428407;16
69;0.327375221;2.177908985;26
70;0.312756983;1.196506568;20
71;0.326614736;1.0558295;8
72;0.50650503;1.303975109;12
73;0.175404722;0.711395743;15
74;0.195240463;0.788326034;15
75;0.392149085;1.995012146;20
76;0.363650906;1.159126096;16
77;0.400189037;1.585997143;6
78;0.232505519;0.971056136;15
79;0.434070762;1.451160684;12
80;0.505834242;0.969053645;15
81;0.4626923;1.303975282;12
82;0.121851971;1.055829522;8
83;0.435752291;0.783820339;15
84;0.334018544;2.026384957;12
85;0.169940395;0.880108143;15
86;0.393498103;1.012942062;15
87;0.077697368;1.52759014;15
88;0.044470951;2.22813913;10
89;0.473177136;1.010939711;15
90;0.275034502;1.299469701;20
91;0.426308526;1.288789504;20
92;0.20588679;2.415875541;27
93;0.313633077;0.884113218;15
94;0.221680437;1.80877764;27
95;0.184204567;0.969053614;15
96;0.237227162;1.011106481;16
97;0.334286669;1.391752529;21
98;0.424904215;1.804438794;21
99;0.040787926;1.475524619;13
100;0.262916445;1.010939635;15
101;0.449656065;1.590502892;11
102;0.492172978;0.969053543;15
103;0.069204346;1.257917327;13
104;0.254846539;1.590502761;11
105;0.24924146;1.829303458;21
106;0.49258576;0.783820219;15
107;0.368988605;1.593339581;10
108;0.151756224;1.592171516;5
109;0.374052078;1.288789524;20
110;0.276144533;0.969053534;15
111;0.521285567;0.971056108;15
112;0.274115361;1.28878946;20
113;0.087612985;1.179318389;16
114;0.060864983;2.379162535;27
115;0.094255639;2.335273886;14
116;0.299265208;1.557127411;13
117;0.430591034;1.603185385;13
118;0.449262711;0.969053621;15
119;0.266282765;1.531428381;16
120;0.211154593;0.969053593;15
121;0.451942024;1.055829494;8
122;0.307437624;1.009604648;14
123;0.057837637;0.971056049;15
124;0.098613541;1.303474644;13
