Simu;Ei
0;0.702329196
1;0.632916247
2;0.582775049
3;0.582645008
4;0.544334236
5;0.491685759
6;0.500981004
7;0.508117844
8;0.569447743
9;0.609161321
10;0.622704062
11;0.60408922
12;0.604209551
13;0.512531409
14;0.660303727
15;0.652341799
16;0.668192814
17;0.730347227
18;0.697312409
19;0.730208995
20;0.536029594
21;0.544990613
22;0.567079952
23;0.53844559
24;0.522465234
25;0.522075531
26;0.566073894
27;0.655448609
28;0.562676452
29;0.659069456
30;0.535689886
31;0.48505628
32;0.580247966
33;0.636697566
34;0.660804795
35;0.665713039
36;0.548409573
37;0.647151605
38;0.645741273
39;0.663334456
40;0.666891863
41;0.696261729
42;0.7589016
43;0.763268862
44;0.765139468
45;0.732676913
46;0.771846983
47;0.741679293
48;0.643350073
49;0.647533629
50;0.458677505
51;0.567031661
52;0.608381612
53;0.613992026
54;0.675639257
55;0.698670622
56;0.876092811
57;0.873290017
58;0.883705439
59;0.889936987
60;0.653793175
61;0.67184852
62;0.619496033
63;0.597736811
64;0.627183616
65;0.587410146
66;0.591914638
67;0.629533562
68;0.684639726
69;0.685212274
70;0.694631942
71;0.729203014
72;0.745109033
73;0.697042579
74;0.637766588
75;0.622567219
76;0.622420394
77;0.487393659
78;0.510969851
79;0.577654512
80;0.603203379
81;0.614908195
82;0.648919902
83;0.663282523
84;0.490699027
85;0.475513729
86;0.807112708
87;0.856356677
88;0.856685307
89;0.859606551
90;0.617832102
91;0.658887455
92;0.659258416
93;0.672462296
94;0.70352206
95;0.660113962
96;0.648767924
97;0.604014617
98;0.622037132
99;0.690656921
100;0.602496705
101;0.605071583
102;0.52878495
103;0.546932576
104;0.33174934
105;0.271891553
106;0.253098071
107;0.25331599
108;0.311346906
109;0.306635617
110;0.573480005
111;0.572186905
112;0.543023862
113;0.513157618
114;0.526185821
115;0.607072084
116;0.64251252
117;0.697960319
118;0.66885069
119;0.724154362
120;0.76388239
121;0.745516747
122;0.665416579
123;0.449231515
124;0.438745231
125;0.438465987
126;0.427620813
127;0.454993125
128;0.329641334
129;0.317387462
130;0.576767204
131;0.64577246
132;0.647391354
133;0.629695929
134;0.606945816
135;0.629689888
136;0.646833894
137;0.583596107
138;0.578473252
139;0.737813492
140;0.833657356
141;0.823265755
142;0.824559711
143;0.498607218
144;0.599588649
145;0.657289908
146;0.657289908
147;0.66043845
148;0.71912333
149;0.715073913
150;0.671602166
151;0.239989734
152;0.230972352
153;0.249845163
154;0.236484036
155;0.402227944
156;0.477988535
157;0.477702309
158;0.613156177
159;0.61536287
160;0.562106156
161;0.493289576
162;0.380245585
163;0.37268608
164;0.476739937
165;0.519010364
166;0.518779832
167;0.45487504
168;0.390630289
169;0.428074095
170;0.681534565
171;0.733862366
172;0.498845629
173;0.607858009
174;0.622665537
175;0.645371343
176;0.628517432
177;0.684502112
178;0.727241615
179;0.702856356
180;0.599184729
181;0.708092624
182;0.736018424
183;0.626590375
184;0.660147434
185;0.666537054
186;0.722541267
187;0.80743502
188;0.793928651
189;0.711282062
190;0.652393981
191;0.533705086
192;0.525908351
193;0.519054625
194;0.618611224
195;0.633012578
196;0.661340261
197;0.707343056
198;0.705650503
199;0.705226205
200;0.58865297
201;0.688560889
202;0.875817101
203;0.885228784
204;0.88884951
205;0.889467065
206;0.894309235
207;0.902854301
208;0.89626399
209;0.877046672
210;0.603195466
211;0.575719139
212;0.586826858
213;0.571896832
214;0.738139233
215;0.746020236
216;0.701642579
217;0.61643453
218;0.613401498
219;0.609863651
220;0.578545298
221;0.570651102
222;0.570671606
223;0.643255458
224;0.677329909
225;0.576579296
226;0.548450722
227;0.485511145
228;0.565620077
229;0.565452487
230;0.741586569
231;0.720407856
232;0.63288648
233;0.63356632
234;0.661317626
235;0.579791203
236;0.863955613
237;0.847553826
238;0.878979039
239;0.862269673
240;0.800002396
241;0.825210491
242;0.482859
243;0.540172431
244;0.523643337
245;0.688820004
246;0.671015346
247;0.672573618
248;0.643890617
249;0.701039794
250;0.463440124
251;0.466079021
252;0.327205991
253;0.32929158
254;0.331267849
255;0.325672507
256;0.523433911
257;0.605239828
258;0.58910609
259;0.637284684
260;0.436327504
261;0.436327504
262;0.428181744
263;0.42783643
264;0.384987235
265;0.450727568
266;0.465021856
267;0.438040454
268;0.408369511
269;0.612986639
270;0.805003653
271;0.80545152
272;0.85852463
273;0.857751656
274;0.570476753
275;0.552535444
276;0.660750513
277;0.726229787
278;0.694755886
279;0.670811184
280;0.508520489
281;0.412587256
282;0.432307189
283;0.440971665
284;0.643211847
285;0.664651856
286;0.585050548
287;0.52660707
288;0.526005125
289;0.513714847
290;0.581857738
291;0.463681108
292;0.46393519
293;0.395100335
294;0.496458493
295;0.49475618
296;0.516893335
297;0.568601279
298;0.486863605
299;0.594622055
